Source,Tweet Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
@BBC,RT @bbcpress: Julien lives! @TchekyKaryo reprises his role as #TheMissing's Julien Baptiste in gripping new @BBCOne drama #Baptiste: https:…,Sun Apr 01 11:19:57 +0000 2018,0.0,0.0,0.0,1.0,32
@BBC,RT @BBCFood: See how Mary Berry does Easter at her house: https://t.co/qzrkDoA9fS https://t.co/AOUIOo4tgr,Sun Apr 01 11:18:20 +0000 2018,0.0,0.0,0.0,1.0,33
@BBC,Why do we find chocolate so irresistible? 🍫 🤔 This is the secret reason why we love to eat it. 👉… https://t.co/C8FbJAZQ99,Sun Apr 01 11:04:05 +0000 2018,0.8083,0.289,0.0,0.711,34
@BBC,RT @bbcpress: 🐰🐰🐰 #HappyEaster from @RealBasilBrush - don't forget to watch #GenerationGame tonight on @BBCOne at 8pm after you've finished…,Sun Apr 01 10:37:30 +0000 2018,0.1695,0.085,0.0,0.915,35
@BBC,From traditional Easter lunch to laid-back seasonal feasts: @BBCFood have Easter entertaining covered. 🐣🍫🐰🍴 https://t.co/PT7uD9UIvn,Sun Apr 01 10:27:03 +0000 2018,0.4404,0.172,0.0,0.828,36
@BBC,🍫🐣🎶 @Stormzy1's cover of Sweet Like Chocolate from the @BBCR1 Live Lounge is an eggs-cellent way to start your East… https://t.co/IHlTGrkmfv,Sun Apr 01 10:03:08 +0000 2018,0.6705,0.224,0.0,0.776,37
@BBC,"""I feel like I'm part of something"". ❤️️ 👂🏼 🍺 Welcome to Deaf Pub, a place where members of the deaf community can… https://t.co/kRwHqCBUrI",Sun Apr 01 09:24:05 +0000 2018,0.6705,0.216,0.0,0.784,38
@BBC,❤️😢 Man's best friend. https://t.co/xE4rkcBJNv,Sun Apr 01 08:32:07 +0000 2018,0.8126,0.712,0.0,0.288,39
@BBC,"RT @bbc5live: More parents are giving presents rather than Easter eggs to tackle obesity, according to new research🍫🍫

Are you rationing yo…",Sat Mar 31 21:15:00 +0000 2018,0.3947,0.113,0.0,0.887,40
@BBC,"This seven-week-old jaguar is on a serious mission! 😼 

#BigCatsAboutTheHouse is available on @BBCiPlayer:… https://t.co/FlxS0N0syY",Sat Mar 31 20:42:07 +0000 2018,-0.1511,0.0,0.117,0.883,41
@BBC,"RT @CBeebiesHQ: Eddie's ready, are you? 😁

Join him for a NEW #BedtimeStory 📚💤
 
He reads 'Big little Hippo' tonight at 6:50pm ✨ https://t.…",Sat Mar 31 18:37:18 +0000 2018,0.5719,0.198,0.0,0.802,42
@BBC,"From creation to hatching, David Attenborough reveals the wonder behind eggs. 🥚🐦 

Natural World: Attenborough's Wo… https://t.co/MEsvf2J89N",Sat Mar 31 18:02:02 +0000 2018,0.5574,0.235,0.0,0.765,43
@BBC,What makes Raquel Meseguer want to lie down in public — no matter where she is?  https://t.co/I7DeEph5iD,Sat Mar 31 17:09:06 +0000 2018,-0.2023,0.136,0.125,0.739,44
@BBC,"RT @BBCWthrWatchers: If this photo doesn't suggest 'Easter', then what does?  Ruthy has captured the moment in Nantmel, Powys. https://t.co…",Sat Mar 31 16:31:15 +0000 2018,0.0,0.0,0.0,1.0,45
@BBC,"Easter music and readings from the Chapel of @Kings_College, Cambridge. ⛪️ 🎶

Easter from King's | 6:15pm | @BBCTwo… https://t.co/IrttRAqpPA",Sat Mar 31 16:15:07 +0000 2018,0.0,0.0,0.0,1.0,46
@BBC,"RT @bbcthree: Someone's knitting cosy Easter postbox hats
https://t.co/XR2G6cj50y https://t.co/PsgJeP6f02",Sat Mar 31 15:43:37 +0000 2018,0.0,0.0,0.0,1.0,47
@BBC,"RT @BBCRadio3: Get ready to luxuriate in the sounds of this English choral masterpiece.
https://t.co/bMDLRqB33p",Sat Mar 31 15:42:42 +0000 2018,0.765,0.337,0.0,0.663,48
@BBC,RT @BBCLookEast: Here's the moment Stephen Hawking's funeral cortege arrived at the church in Cambridge. https://t.co/3Nu4GcHMoX,Sat Mar 31 15:42:08 +0000 2018,-0.3612,0.0,0.143,0.857,49
@BBC,"😂 True or false? 
@NiallOfficial screamed when @JustinBieber followed him on Twitter.  https://t.co/CIcv8AR2sy",Sat Mar 31 13:01:05 +0000 2018,0.128,0.185,0.152,0.662,50
@BBC,"This is what happens when you get an OWL to deliver the rings at your wedding... 🦉💍🤦
https://t.co/yi1tbmLg99",Sat Mar 31 12:31:02 +0000 2018,0.0,0.0,0.0,1.0,51
@BBC,"✊ Don't like plastic in the supermarkets? 
Why not bin the lot! ♻️🗑https://t.co/gfxquQUoj4",Sat Mar 31 11:50:05 +0000 2018,-0.3404,0.0,0.179,0.821,52
@BBC,It's still growing 😱 https://t.co/T5YocDauYj,Sat Mar 31 11:28:03 +0000 2018,0.1779,0.362,0.0,0.638,53
@BBC,"RT @BBCArchive: Eh-oh! #OnThisDay 1997 the Teletubbies was first broadcast, featuring Tinky Winky, Dipsy, Laa-Laa, and Po. Again, again! ht…",Sat Mar 31 11:26:30 +0000 2018,-0.6351,0.0,0.18,0.82,54
@BBC,"RT @bbcgetinspired: BBC Get Inspired has teamed up with @PHE_uk's @OneYouPHE campaign to bring you the free #CouchTo5K smartphone app.

Sig…",Sat Mar 31 10:37:23 +0000 2018,0.7579,0.255,0.0,0.745,55
@BBC,RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct,Sat Mar 31 10:37:18 +0000 2018,0.93,0.58,0.0,0.42,56
@BBC,"💻 The world is running out of computer storage. 

🤔 Could DNA be the answer? https://t.co/ww2UziMrWn",Sat Mar 31 10:27:04 +0000 2018,0.0,0.0,0.0,1.0,57
@BBC,The greatest wall you've never heard of: these mesmerising mosaics are hidden in Pakistan's Lahore Fort. 😍… https://t.co/1urqLOyZAw,Sat Mar 31 09:04:03 +0000 2018,0.6369,0.198,0.0,0.802,58
@BBC,"Thinking of getting off social media? 

These people did. Here's how they survive (and thrive).  https://t.co/5yB6SW1mTG",Sat Mar 31 08:04:03 +0000 2018,0.0,0.0,0.0,1.0,59
@BBC,Brown bear cubs living in the forests of Sweden are spending longer with their mothers. 🐻 🌲 https://t.co/WILDpFotl9 https://t.co/RukaU9k8Ja,Sat Mar 31 07:03:06 +0000 2018,0.0,0.0,0.0,1.0,60
@BBC,"Everyone is at rock bottom. And then Matt makes things worse. 🤦

@Matt_LeBlanc, @StephenMangan and Tamsin Greig are… https://t.co/wMqkSpRiUJ",Fri Mar 30 20:23:06 +0000 2018,-0.4767,0.0,0.154,0.846,61
@BBC,😱👀 When a cheetah interrupts your safari. https://t.co/Zi29GwxYA3,Fri Mar 30 19:00:32 +0000 2018,-0.3182,0.0,0.277,0.723,62
@BBC,"RT @BBCOne: The search is on for Britain’s Best Home Cook. 

#BBHC @ClaudiaWinkle @DanDoherty_ @Chris_Bavin https://t.co/yw46HaGnKW",Fri Mar 30 18:41:56 +0000 2018,0.6369,0.219,0.0,0.781,63
